hex,lat,lon,count_good_aircraft,count_bad_aircraft,bad_frac
841e497ffffffff,46.471208176957056,35.480046322435584,1,0,-1.0
841e4a1ffffffff,46.26185618903767,32.91111788844346,1,1,0.0
841e4a5ffffffff,46.05204399289065,32.413856289563086,1,1,0.0
841e4a7ffffffff,45.86007567154513,32.953479859345684,1,1,0.0
841e4abffffffff,46.46861904939112,33.41004434361999,1,1,0.0
841e4b5ffffffff,45.8715670240869,33.984875480411695,1,1,0.0
841e583ffffffff,45.40452122346481,30.932715173291854,1,0,-1.0
841e58bffffffff,45.80885404759198,30.88007161560226,1,0,-1.0
841e591ffffffff,45.435242945776686,31.965611683456352,1,1,0.0
841e593ffffffff,45.2445739714164,32.50307177304043,2,2,0.25
841e597ffffffff,45.029585779518115,32.012417679780576,2,1,0.0
841e59bffffffff,45.64916205216679,32.45869227070013,1,1,0.0
841e5a3ffffffff,44.549977454986156,30.011613266988082,2,1,0.0
841e5b3ffffffff,44.40328015906194,31.57222257749674,2,2,0.25
841e5b5ffffffff,44.366965761099245,30.55117809125029,1,0,-1.0
841e5b7ffffffff,44.18138859030453,31.087477247456757,1,0,-1.0
841e5b9ffffffff,44.99847842729109,30.984825336685436,0,1,0.0
841e5bbffffffff,44.81163870975938,31.5235099504196,1,0,-1.0
841e5c3ffffffff,46.393545106643785,30.27594347069513,1,0,-1.0
841e5d1ffffffff,46.42819442241114,31.323629510150102,1,0,-1.0
842d0c1ffffffff,43.02251047415348,36.21022134932239,1,0,-1.0
842d0c9ffffffff,43.230188626230145,35.7044097758265,1,0,-1.0
842d20bffffffff,43.13113559473358,30.709780148802498,1,1,0.0
842d211ffffffff,43.58172367372182,31.668190998720647,1,1,0.0
842d213ffffffff,43.8027444927502,32.15002743837525,3,2,0.2
842d215ffffffff,43.168593442426136,31.71546111188025,3,1,0.0
842d217ffffffff,43.39061696679594,32.19498437437988,1,1,0.0
842d21bffffffff,43.99329734741931,31.62044718363242,3,1,0.0
842d21dffffffff,43.357845104944126,31.188089337030984,1,2,0.3333333333333333
842d251ffffffff,43.72898228493171,30.12357110365158,2,0,-0.5
842d253ffffffff,43.95661348082457,30.604574181153637,1,0,-1.0
842d255ffffffff,43.31608090368461,30.178717500873244,53,10,0.14285714285714285
842d257ffffffff,43.54465859457466,30.657438932675596,1,1,0.0
842d25bffffffff,44.14029251092828,30.067872436038876,1,0,-1.0
842d281ffffffff,44.24990537469757,34.129004382961796,1,1,0.0
842d285ffffffff,43.84046852815102,34.16413459783344,1,0,-1.0
842d287ffffffff,44.049097702839575,34.648918660770605,1,0,-1.0
842d289ffffffff,44.44841443723653,33.6053476852519,3,0,-0.3333333333333333
842d28bffffffff,44.65776567045118,34.093518810259894,2,3,0.4
842d293ffffffff,45.267931850547335,35.56632490524432,1,0,-1.0
842d297ffffffff,44.86352863675265,35.594501614323505,1,0,-1.0
842d29dffffffff,44.86414731475545,34.58311594626551,1,1,0.0
842d2adffffffff,43.01699951036978,34.233349991481084,0,1,0.0
842d2b1ffffffff,44.04993928119554,35.6500070326124,1,0,-1.0
842d2b3ffffffff,44.25088070215577,36.136145814796265,1,0,-1.0
842d2b5ffffffff,43.64081748337051,35.67734418090546,1,0,-1.0
842d2b9ffffffff,44.2547874757556,35.13502681583467,1,0,-1.0
842d2bbffffffff,44.457520536238384,35.62239423617157,1,0,-1.0
842d2bdffffffff,43.84604899110996,35.16504579795102,1,0,-1.0
842d2c1ffffffff,44.430402206656105,32.59048873834859,2,1,0.0
842d2c3ffffffff,44.64456806151588,33.07799643483356,2,2,0.25
842d2c5ffffffff,44.020882220565994,32.63353956154851,1,1,0.0
842d2c7ffffffff,44.236112993906524,33.118666907631486,1,0,-1.0
842d2c9ffffffff,44.62226220392716,32.05875095026411,3,3,0.3333333333333333
842d2cbffffffff,44.83831022534249,32.54700168000089,3,2,0.2
842d2cdffffffff,44.21330415772175,32.1046185608059,1,1,0.0
842d2d1ffffffff,45.261513679808516,33.52842035037398,3,5,0.5
842d2d3ffffffff,45.46862761867494,34.02145991561814,0,1,0.0
842d2d5ffffffff,44.85577978517849,33.567079006909495,6,5,0.36363636363636365
842d2d7ffffffff,45.064016943459876,34.057672488054635,218,124,0.35964912280701755
842d2d9ffffffff,45.45658070402399,32.9954092640507,1,1,0.0
842d2dbffffffff,45.6655849062559,33.48936575973136,1,2,0.3333333333333333
842d2ddffffffff,45.05140121802438,33.03691265019757,4,1,0.0
842d2e1ffffffff,43.41446868251319,33.19879245818098,1,1,0.0
842d2e3ffffffff,43.62891875623126,33.680738343071326,2,0,-0.5
842d2edffffffff,43.19714008851698,32.71835830926443,1,0,-1.0
842d765ffffffff,44.44885844178462,36.623396198286926,1,0,-1.0
842d769ffffffff,45.062099071659205,36.08550845812842,1,0,-1.0
842d76dffffffff,44.65728106869293,36.110955029910755,1,0,-1.0
