site_id,site_name,desa,kec,lat,lon,distance_from_epicenter_km,simulated_anomaly_severity_SIMULATED,flagged_anomalous_SIMULATED,priority_rank_SIMULATED
16MPW043,Rd To Rasau Jaya,Rasau Jaya,Rasau Jaya,-0.211735,109.393508,0.0,0.9933333333333332,True,1
MPW059,BINA KARYA,Rasau Jaya 1,Rasau Jaya,-0.225194,109.387917,1.6205648487742892,0.8056772161673262,True,2
140195,SECUNDER C,Rasau Jaya 1,Rasau Jaya,-0.232,109.382,2.5913519060988097,0.7247222957767602,True,3
16MPW006,Pasar Rasau Jaya,Rasau Jaya 1,Rasau Jaya,-0.248306,109.371583,4.741314282890497,0.6021804317068657,True,4
KAL-WKL-0008-X-P,RASAU JAYA,Rasau Jaya 1,Rasau Jaya,-0.25177,109.37033,5.143913854256075,0.5856940799073234,True,5
C415,Rasau Jaya,Rasau Jaya 1,Rasau Jaya,-0.252361,109.371,5.1643783911000956,0.5848995622611436,True,6
140134,RASAU JAYA III,Rasau Jaya 3,Rasau Jaya,-0.245,109.356,5.574620820782142,0.5698004870995248,True,7
200116109,NEW_KUALADUA,Kuala Dua,Sui Raya,-0.18737,109.44364,6.197906571311721,0.549628950878004,True,8
16MPW010,sei_kumpai,Kuala Dua,Sungai Raya,-0.174083,109.435889,6.303693956143292,0.5465066124023147,True,9
KAL-WKL-0001-M-B,Bandara supadio,Kuala Dua,Sungai Raya,-0.17378,109.43591,6.327861049428136,0.54580482800565,True,10
MPW012,KUALA_DUA,Kuala Dua,Sungai Raya,-0.172583,109.434944,6.338901617667319,0.5454856309464057,True,11
KAL-WKL-0012-H-P,KARYA II,Kuala Dua,Sungai Raya,-0.19685,109.4504,6.539009822286331,0.5398503586440072,True,12
PELABUHAN RASAU,PELABUHAN RASAU,Rasau Jaya,Rasau Jaya,-0.264431,109.362325,6.808582040392177,0.532691157111356,True,13
tbg,SIMP_RASAUJAYA,Kuala Dua,Sui Raya,-0.15453,109.41719,6.884442378200174,0.5307619621402032,True,14
140103,H104,Kuala Dua,Sungai Raya,-0.15494,109.42361,7.147511361252204,0.524348340126505,True,15
tbg,BANDARA SUPADIO,Limbung,Sui Raya,-0.142833,109.413,7.962235496514832,0.5069620655389071,True,16
16MPW001,airport_pontianak,Arang Limbung,Sungai Raya,-0.141472,109.410139,8.028775043129594,0.5056923999518932,True,17
3405,Airport Pontianak,Arang Limbung,Sui Raya,-0.141028,109.41,8.073301399304178,0.5048544955180118,True,18
MPW011,PONTIANAK_AIRPORT,Arang Limbung,Sungai Raya,-0.141111,109.410361,8.07353644844868,0.5048500970259624,True,19
140055,MEKAR SARI PTK,Mekar Sari,Sungai Raya,-0.21528,109.46794,8.28579652790196,0.5009817205799693,True,20
MPW054,DS MEKAR SARI EX KUALA DUA-CAP EX BALAI BERKUAK,Mekar Sari,Sungai Raya,-0.21525,109.468,8.292302744355306,0.5008663588168976,True,21
