site_id,site_name,lat,lon,pop_within_1km,px_within_1km,pop_within_2km,px_within_2km
16MPW043,Rd To Rasau Jaya,-0.211735,109.393508,1370.884632,3292,2880.710274,13168
MPW059,BINA KARYA,-0.225194,109.387917,2121.166086,3286,6043.933935,13185
140195,SECUNDER C,-0.232,109.382,3482.787984,3294,8095.629515999999,13169
16MPW006,Pasar Rasau Jaya,-0.248306,109.371583,4691.574771,3294,13745.897256,13172
KAL-WKL-0008-X-P,RASAU JAYA,-0.25177,109.37033,5080.609598999999,3292,13819.999128,13170
C415,Rasau Jaya,-0.252361,109.371,5057.452764,3280,13514.328905999999,13186
140134,RASAU JAYA III,-0.245,109.356,3992.238354,3292,8994.114714,13174
200116109,NEW_KUALADUA,-0.18737,109.44364,2760.2947320000003,3296,7447.238136,13166
16MPW010,sei_kumpai,-0.174083,109.435889,3135.4354590000003,3294,10026.909555,13168
KAL-WKL-0001-M-B,Bandara supadio,-0.17378,109.43591,3121.541358,3290,10189.0074,13178
MPW012,KUALA_DUA,-0.172583,109.434944,2667.667392,3296,11184.751305,13168
KAL-WKL-0012-H-P,KARYA II,-0.19685,109.4504,2028.5387459999997,3284,6530.22747,13180
PELABUHAN RASAU,PELABUHAN RASAU,-0.264431,109.362325,4057.077492,3292,10804.979211000002,13173
tbg,SIMP_RASAUJAYA,-0.15453,109.41719,8452.244775,3295,21160.739296,13171
140103,H104,-0.15494,109.42361,7581.5477789999995,3297,20039.925009,13166
tbg,BANDARA SUPADIO,-0.142833,109.413,7379.676087,3294,21280.412222000003,13169
16MPW001,airport_pontianak,-0.141472,109.410139,7927.131975999999,3286,21448.958128,13185
3405,Airport Pontianak,-0.141028,109.41,7939.955549,3295,21328.472877,13174
MPW011,PONTIANAK_AIRPORT,-0.141111,109.410361,7973.282755,3295,21332.010243,13174
140055,MEKAR SARI PTK,-0.21528,109.46794,1389.4101,3292,4839.778514999999,13175
MPW054,DS MEKAR SARI EX KUALA DUA-CAP EX BALAI BERKUAK,-0.21525,109.468,1389.4101,3295,4839.778514999999,13168
KAL-WKL-0108-H-B,Limbung,-0.13563,109.40895,7225.143067000001,3296,21507.026973,13170
KAL-WKL-0096-T-B,Site_4853,-0.12651,109.40302,7880.799093000001,3297,26742.922857999998,13169
16MPW054,Sungai Ambangah,-0.136614,109.437819,1926.6486719999998,3294,5766.051915,13167
tbg,TB_ADISUCIPTO KM14.5 EX  ARANG LIMBUNG SEC-1,-0.12561,109.41011,8314.773334000001,3292,24112.583108,13165
tbg,TB_GG WONODADI EX ROAD PONTIANAK AIRPORT TO SUNGAI RAYA DALAM,-0.11835,109.39771,10080.211875,3295,30436.129674999996,13167
140100,ARANG JAYA,-0.11382,109.41023,9510.320424000001,3295,28856.249543,13169
140141,ARANG LIMBUNG 3,-0.1111,109.39514,9021.117613999999,3292,34525.397686,13175
MPW015,ARANG_LIMBUNG,-0.110944,109.409833,9821.413704999999,3280,29237.628494,13179
3412,Sungai Raya,-0.109472,109.388,6897.552979,3295,29423.466449,13168
KAL-WKL-0005-X-P,AHMAD YANI ROAD,-0.10711,109.38944,7919.014449,3293,31020.17201,13174
MPW053,PERUM_TELUK_MULUS,-0.105417,109.397917,10370.521977,3276,33971.658047,13192
16PTK017,arang_limbung,-0.10325,109.407444,8203.948438000001,3295,29330.815636,13168
tbg,TB_PARIT CAB KIRI EX ROAD SEI RAYA TO PTK AIRPORT,-0.10232,109.38448,7892.133884,3297,25950.497451000003,13174
KAL-WKL-0010-M-B,Arang Limbung,-0.10219,109.40908,7757.731059000001,3296,27025.207905,13170
tbg,KOMP_BTN_TELUKMULUS,-0.1004,109.40313,7252.376437000001,3286,31412.628258999997,13177
KAL-WKL-0143-T-B,GG_PARAH ex RA_KARTINI,-0.09516,109.37697,6306.180548999999,3294,28901.983487999998,13170
16PTK066,Teluk Mulus,-0.093361,109.39275,8601.7808,3297,30095.480573999997,13167
2111022,Ahmad Yani Road,-0.094139,109.379,7558.814878,3296,29461.09924,13171
MPW017,SEI_RAYA_3** / ADI SUCIPTO,-0.093222,109.393278,8295.342359,3291,30186.874495,13167
16PTK071,Bintang Mas,-0.268565,109.286218,1972.962342,3293,2514.832281,13172
MPW075,BINTANG MAS,-0.266944,109.281944,1667.2921199999998,3297,2584.302786,13157
16PTK006,sungai_raya (PIL),-0.086472,109.376222,7510.429861,3287,34417.875426,13180
MPW010,STO_SUNGAI_RAYA / SUNGAI RAYA,-0.08625,109.3755,7628.704347,3298,34697.433302000005,13164
KAL-WKL-0092-H-B,A Yani II,-0.08732,109.36707,8150.1873080000005,3283,39105.845962,13182
2111021,Pasar Sei Raya Infill,-0.083444,109.387528,7451.292618,3296,33901.768578,13171
PTK016,SUNGAI_RAYA_DALAM,-0.090778,109.349056,11053.288328,3291,34127.565323999996,13167
16MPW050,kampung_kapur,-0.080167,109.401472,8488.882427,3287,27660.101385,13180
140368,NURUL HUDA,-0.0798,109.3791,9488.839445000001,3296,37175.821395,13170
KAL-WKL-0106-H-B,Sei Raya,-0.07499,109.37604,10101.716327,3294,40460.62643800001,13168
MPW020,A_YANI_II / PURNAMA_2,-0.075167,109.364778,11918.842521000002,3291,47820.525135,13167
KAL-WKL-0123-H-B,Sungai Raya Dalam ll,-0.0745,109.359,14235.947224000003,3291,50589.22333000001,13167
MPW063,TANJUNG RAYA II / DENZIBANG II / DESA KAPUR,-0.070222,109.390333,9252.290473000001,3294,34482.388782,13169
PTK049,GUBERNURAN_2/ DENZIBANG (MPW016),-0.067611,109.37125,12348.931561000001,3280,47067.869315,13186
tbg,"PEREMPATAN,SEI RAYA DLM JL. A.YANI",-0.06922,109.36237,14015.526591000002,3297,51433.273071,13169
16PTK038,parit_mayor/Kp Kapur,-0.062829,109.380935,10193.110247999999,3292,42186.358711,13171
16PTK023,rsu_soedarso,-0.062333,109.366139,12848.910070000002,3296,51911.747128,13171
KAL-WKL-0091-H-B,Binaraya,-0.06158,109.36595,12886.542861000002,3286,52159.048326000004,13178
tbg,PUNGGUR KECIL – 140280,-0.09954,109.28666,2085.9318439999997,3296,7376.655127,13175
MPW058,SEI BEMBAN / ROAD KOTABARU - BEMBAN,-0.100056,109.286083,2102.060183,3295,7105.941021000001,13168
C409,Punggur Pontianak,-0.126611,109.247694,3005.7571830000006,3294,5377.017087,13168
MPW030,PUNGGUR,-0.126639,109.246806,3047.439486,3294,5275.127012999999,13166
KAL-WKL-0141-T-B,Seponti Jaya 2,-0.07108,109.29848,12160.767606000001,3296,32616.877571000005,13167
Perdamaian,KOTABARU PONTIANAK,-0.066056,109.302111,15031.611948000003,3291,40842.330461,13167
16MPW020,punggur_ptk,-0.124498,109.243279,2783.451567,3292,5015.770461,13169
MPW026,SUNGAI_AMBAWANG,-0.038972,109.4135,4166.487575,3287,15069.244739,13180
tbg,PERUMNAS 4 PONTIANAK,-0.0369,109.38134,11908.090295000002,3292,42433.659909,13167
140341,PARIT AIM AMBAWANG,-0.03673,109.41427,4144.983123,3292,14976.361325999998,13167
16PTK030,sei_ambawang,-0.032278,109.393278,8795.320868,3294,29240.678607,13169
RSJ,RASAU JAYA,-0.1952,109.2129,0.0,3286,69.470505,13178
tbg,TB_JW TENGAH EX SPLIT SUNGAI AMBAWANG-2,-0.03507,109.44057,3275.493943,3293,8318.519117,13168
140108,SUNGAI AMBAWANG,-0.02873,109.38661,9160.896552,3292,35063.008986,13168
CD07,Teluk Nibung,-0.035778,109.452,2306.420766,3294,7530.439850999999,13169
KAL-WKL-0003-M-B,Gang Terpadu,-0.03509,109.45073,2311.052133,3287,7624.161192000001,13179
16MPW040,Kampung Jawa Tengah (rd To Tayan Ambawang 1),-0.036008,109.463793,2584.302786,3288,7609.335981,13180
MPW060,DS JAWA TENGAH / SUNGAI AMBAWANG-CAP,-0.0375,109.467806,2815.871136,3299,7799.222028,13169
tbg,TB_KOREK  EX SPLIT DS.JAWA TENGAH-2,-0.04704,109.49022,1894.2291030000001,3292,5821.628319,13169
MPW031,SUNGAI_ASAM,-0.296972,109.567278,1949.805507,3295,5015.770461,13168
16MPW019,drm_rasau,-0.296619,109.567921,1982.2250760000002,3300,5001.87636,13167
MPW045,KOREK / KOREK EX KAMP JAWA T / SUKAMARA 2,-0.052417,109.515861,1514.457009,3294,4376.641815000001,13172
140186,PAL 9,-0.06163,109.25604,6252.34545,3295,13986.72834,13168
MPW018,PAL_IX / SEI_KAKAP_2,-0.062167,109.255444,6206.031779999999,3291,14046.936111,13167
MPW046,KALIMAS / PUNGGUR 2,-0.09325,109.227333,1648.7666520000002,3287,4631.367,13180
tbg,KALIMAS - 140190,-0.08744,109.22507,1741.3939919999998,3296,4937.037222000001,13172
16PTK062,rd_to_kakap,-0.066306,109.242806,4524.845558999999,3294,13245.70962,13172
PTK043,KUALA MANDOR,-0.008639,109.44925,1685.817588,3294,4575.790596,13172
16MPW041,desa korek (RD TO Tayan Ambawang 2),-0.040101,109.540271,1968.3309749999999,3294,5108.397800999999,13175
140404,SUNGAI KAKAP,-0.05433,109.22469,1718.237157,3297,9295.153568999998,13170
140340,PRAMUKA,-0.00668,109.28487,11515.908621999999,3293,28946.008291,13171
GLN,GUNUNG LINANG,-0.4445,109.38916,393.666195,3297,2065.5896820000003,13168
140867A,HARAPAN KITA,-0.0031,109.28391,9578.529777,3293,26338.44921,13172
3413,Sungai Kakap,-0.006556,109.272,6405.180560999999,3291,22651.552927,13167
MPW144,TPI JERUJU EX LANCAK BADAU / TPI JERUJU (PTK076),-0.005306,109.270222,6363.498258,3295,21726.721363,13168
16PTK053,nipah kuning,-0.004722,109.262361,5414.068023,3292,19200.739945,13178
16MPW009,sungai_kakap,-0.056444,109.194278,2385.154005,3291,7285.140291,13167
MPW013,SEI_KAKAP,-0.056306,109.194222,2422.204941,3296,7271.24619,13168
140185,SUNGAI RENGAS,-0.00906,109.23767,1875.703635,3282,8776.440465,13177
MPW047,SUNGAI RENGAS,-0.006556,109.238167,2357.3658029999997,3280,8373.511536,13178
MPW067,SUNGAI SELAMAT,-0.395056,109.211444,333.45842400000004,3294,527.975838,13169
KAL-WKL-0049-T-B,BRI Sungai Kakap,-0.06084,109.18123,3899.611014,3294,6460.7569650000005,13176
PTK042,TELOK PEKADAI-31,-0.312583,109.15125,2028.5387460000002,3286,2913.129843,13186
16MPW016,tpi,-0.011111,109.224083,1778.444928,3295,5386.279821,13174
CD05,CD05,-0.313972,109.151,1949.805507,3287,2885.341641,13180
140381,TELUK PAKEDAI,-0.31931,109.15189,1894.229103,3297,2857.5534389999993,13167
16MPW045,teluk pakedai,-0.313111,109.148944,1801.6017630000001,3294,2811.239769,13169
140196,KARYA BERSAMA,-0.48788,109.37753,2533.3577490000002,3296,5265.864278999999,13170
MPW052,PANCAROBA / PANCAROBA EX LINGGA,-0.031361,109.604722,1875.7036349999998,3299,4321.065411,13167
16MPW017,kubu_ptk,-0.490204,109.380673,2950.1807790000003,3288,5159.342838,13176
MPW021,KUBU,-0.491889,109.377444,2440.730409,3294,5103.766434,13169
16MPW025,pancaroba,-0.030311,109.609984,2148.954288,3297,4311.802677,13164
MPW126,SAJINGAN BESAR / JERUJU BESAR (PTK067),-0.008556,109.196111,1935.911406,3295,5534.483565,13168
tbg,SUNGAI KUPAH – 140192,-0.008582,109.19601,1940.5427730000001,3294,5534.483565,13169
MPW071,TERENTANG,-0.384167,109.626944,1250.4690899999998,3297,1722.868524,13157
16MPW023,terentang,-0.384221,109.627335,1259.731824,3292,1741.3939919999998,13167
tbg,RADAK,-0.45297,109.55861,324.19569,3296,954.061602,13174
CD06,Kubu,-0.503694,109.371,1750.6567259999997,3287,3482.7879839999996,13181
MPW077,Sule Bagas,0.044111,109.557889,19.560200000000002,3291,782.408,13167
140094,H095,0.09829,109.36266,0.0,3296,37.050936,13168
tbg,KUBU_PADI,0.09963,109.46834,731.7559859999999,3294,2808.60054,13175
MPW072,PENEMPAT EX TAYAN ROAD,-0.014167,109.695278,935.536134,3297,1523.7197429999999,13157
16MPW049,bakung (Penempat),-0.01584,109.696801,852.1715280000001,3292,1500.5629079999999,13176
MPW076,MTDABUNG,-0.569,109.28358,111.152808,3299,898.485198,13174
16MPW044,dabung,-0.589417,109.256083,514.081737,3297,694.70505,13170
tbg,pulau limbung,-0.26812,109.85852,666.9168480000001,3292,1005.0066390000002,13167
MPW022,PADANG_TIKAR,-0.695139,109.264361,2551.883217,3286,5599.322703,13185
16MPW027,padang_tikar,-0.696528,109.263278,2635.247823,3298,5515.958097,13164
16MPW026,teluk_air,-0.729861,109.565889,259.35655199999997,3298,477.030801,13164
MPW036,BATU_AMPAR,-0.739778,109.533111,1106.896713,3294,2371.2599039999996,13169
16KTP009,batu_ampar_ptk,-0.743417,109.537139,1528.35111,3294,2588.934153,13164
MPW062,MASTURA BATU AMPAR,-0.751611,109.542361,1690.448955,3298,3061.333587,13164
MPW029,TELUK_NIBUNG,-0.792639,109.468667,731.755986,3298,2389.785372,13166
P06-07,SUNGAI BESAR,-0.79,109.253889,1014.2693730000001,3297,1926.6486720000003,13157
MPW149,DESA SETIA BARU,-0.81525,109.49311,829.014693,3295,2315.6835,13171
MPW078,MTMEGATIMUR,-0.1105,110.074889,167.06066099999998,3291,374.757699,13167
P06-22,BATU AMPAR,-0.859722,109.690278,578.920875,3297,1551.507945,13157
P06-23,SUMBER AGUNG,-0.80556,109.79445,764.175555,3301,1574.66478,13162
