FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.1,1,MPW012,KUALA_DUA,"Jl. Raya Sei Adong, rt.01/02 Kec. Sungai Raya Kab. Kubu Raya",Kuala Dua,Sungai Raya,-0.172583,109.434944,Green Field,62,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.434944444444 -0.172583333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.2,2,MPW013,SEI_KAKAP,"Jl. Raya Sei Kakap, Kec. Pontianak Utara Kab. Kubu Raya",Sungai Kakap,Sungai Kakap,-0.056306,109.194222,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.194222222222 -0.0563055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.3,3,PTK016,SUNGAI_RAYA_DALAM,Jl. Sei Raya Dalam Kec. Pontianak Selatan Kab. Kubu Raya,Sungai Raya,Sungai Raya,-0.090778,109.349056,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.349055555556 -0.0907777777777778)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.4,4,MPW015,ARANG_LIMBUNG,"Jl. Adisucipto, Gg. Aminah, Kec. Pontianak Utara Kab. Kubu Raya",Arang Limbung,Sungai Raya,-0.110944,109.409833,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.409833333333 -0.110944444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.5,5,MPW018,PAL_IX / SEI_KAKAP_2,"Jalan Raya S. Kakap RT.13 RW.IX Kampung Parit Gado Desa PAL IX Kec. Pontianak Selatan, Kab. Kubu Raya",Pal IX,Sungai Kakap,-0.062167,109.255444,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.255444444444 -0.0621666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.6,6,PTK049,GUBERNURAN_2/ DENZIBANG (MPW016),"Jl. Adisucipto, Belakang Kompleks Denzibang,  Kec. Sungai Raya Kab. Kubu Raya",Sungai Raya,Sungai Raya,-0.067611,109.37125,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.37125 -0.0676111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.7,7,MPW017,SEI_RAYA_3** / ADI SUCIPTO,"Gg.Darma Raja Kampung Banjarbaru Rt.5/7,  Kec. Pontianak Utara Kab. Kubu Raya",Sungai Raya,Sungai Raya,-0.093222,109.393278,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.393277777778 -0.0932222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.8,8,MPW020,A_YANI_II / PURNAMA_2,Jl. Ahmad Yani II Rt 8 Rw 1 Sei Raya Kec. Pontianak Barat Kab. Kubu Raya Kalbar,Sungai Raya,Sungai Raya,-0.075167,109.364778,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.364777777778 -0.0751666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.9,9,MPW030,PUNGGUR,Jl. Pelita RT. 08/03 Desa Punggur Kecil Kec. Sungai Kakap Kec. Pontianak Barat Kab. Kubu raya,Punggur Kecil,Sungai Kakap,-0.126639,109.246806,Green Field,62,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.246805555556 -0.126638888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.10,10,MPW031,SUNGAI_ASAM,JL. Parit Setia Rt.12 Rw.06 Ds.Sungai Asam Kec. Sukalanting Kab. Kubu Raya,Sungai Asam,Sungai Raya,-0.296972,109.567278,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.567277777778 -0.296972222222222)
